ID,Rep,Landmark,X,Y
Leaf_13b,2,4,13.106,21.467
Leaf_13b,2,5,12.97,21.44
Leaf_13b,2,6,11.206,21.498
Leaf_13b,2,7,14.967,21.24
Leaf_13b,2,8,11.375,20.137
Leaf_13b,2,9,14.75,19.773
Leaf_13b,2,10,12.104,21.473
Leaf_13b,2,11,13.888,21.325
Leaf_13b,2,12,12.416,20.589
Leaf_13b,2,13,13.739,20.767
Leaf_13b,2,14,12.204,19.767
Leaf_13b,2,15,14.016,19.934
Leaf_13a,2,1,12.964,17.1
Leaf_13a,2,2,12.996,22.15
Leaf_13a,2,3,12.795,21.882
Leaf_13a,2,4,13.269,21.669
Leaf_13a,2,5,12.984,20.957
Leaf_13a,2,6,11.455,21.023
Leaf_13a,2,7,14.571,20.875
Leaf_13a,2,8,11.514,20.178
Leaf_13a,2,9,14.225,19.251
Leaf_13a,2,10,12.148,21.659
Leaf_13a,2,11,13.792,21.583
Leaf_13a,2,12,12.661,21.611
Leaf_13a,2,13,13.62,20.801
Leaf_13a,2,14,12.435,21.079
Leaf_13a,2,15,13.798,19.797
Leaf_12c,2,1,12.57,16.775
Leaf_12c,2,2,12.028,21.977
Leaf_12c,2,3,11.827,21.758
Leaf_12c,2,4,12.156,21.879
Leaf_12c,2,5,12.048,21.509
Leaf_12c,2,6,10.389,21.464
Leaf_12c,2,7,13.741,21.591
Leaf_12c,2,8,10.754,19.44
Leaf_12c,2,9,13.787,20.646
Leaf_12c,2,10,11.241,21.771
Leaf_12c,2,11,12.914,22.038
Leaf_12c,2,12,11.674,21.436
Leaf_12c,2,13,12.405,21.63
Leaf_12c,2,14,11.375,20.843
Leaf_12c,2,15,12.761,21.241
Leaf_12b,2,1,10.74,16.483
Leaf_12b,2,2,10.676,20.923
Leaf_12b,2,3,9.996,20.284
Leaf_12b,2,4,11.044,20.187
Leaf_12b,2,5,10.6,19.403
Leaf_12b,2,6,8.74,19.295
Leaf_12b,2,7,12.26,19.504
Leaf_12b,2,8,9.277,17.996
Leaf_12b,2,9,11.979,18.001
Leaf_12b,2,10,9.375,20.462
Leaf_12b,2,11,11.487,20.202
Leaf_12b,2,12,9.662,19.34
Leaf_12b,2,13,11.214,19.741
Leaf_12b,2,14,9.596,18.44
Leaf_12b,2,15,11.383,19.165
Leaf_12a,2,1,12.334,18.786
Leaf_12a,2,2,12.613,22.588
Leaf_12a,2,3,12.531,22.536
Leaf_12a,2,4,12.724,22.555
Leaf_12a,2,5,12.6,22.72
Leaf_12a,2,6,11.135,22.7
Leaf_12a,2,7,14.165,22.746
Leaf_12a,2,8,11.096,21.511
Leaf_12a,2,9,14.369,21.735
Leaf_12a,2,10,11.884,22.562
Leaf_12a,2,11,13.364,22.719
Leaf_12a,2,12,12.254,22.236
Leaf_12a,2,13,13.144,22.154
Leaf_12a,2,14,12.066,21.96
Leaf_12a,2,15,13.224,22.005
Leaf_11c,2,1,11.903,16.168
Leaf_11c,2,2,12.243,23.376
Leaf_11c,2,3,12.037,22.956
Leaf_11c,2,4,12.356,23.198
Leaf_11c,2,5,12.26,21.169
Leaf_11c,2,6,10.412,21.113
Leaf_11c,2,7,14.706,21.227
Leaf_11c,2,8,10.498,19.688
Leaf_11c,2,9,14.423,20.278
Leaf_11c,2,10,11.368,22.25
Leaf_11c,2,11,13.468,22.273
Leaf_11c,2,12,11.791,21.983
Leaf_11c,2,13,12.806,22.128
Leaf_11c,2,14,11.68,21.542
Leaf_11c,2,15,12.94,21.877
Leaf_11b,2,1,11.673,16.883
Leaf_11b,2,2,11.881,22.565
Leaf_11b,2,3,11.695,22.254
Leaf_11b,2,4,12.137,22.191
Leaf_11b,2,5,11.873,21.975
Leaf_11b,2,6,10.063,21.969
Leaf_11b,2,7,13.549,21.994
Leaf_11b,2,8,10.353,20.171
Leaf_11b,2,9,13.28,19.892
Leaf_11b,2,10,11.0,22.287
Leaf_11b,2,11,12.709,22.317
Leaf_11b,2,12,11.442,21.778
Leaf_11b,2,13,12.442,21.68
Leaf_11b,2,14,11.058,21.054
